[0.1, 0.45]
[4.45, 4.75]
[7.75, 8.05]
[8.85, 9.200000000000001]
[17.35, 17.7]
[18.8, 19.450000000000003]
[19.6, 19.85]
[20.150000000000002, 20.450000000000003]
[25.150000000000002, 25.6]
[27.950000000000003, 28.200000000000003]
[29.450000000000003, 30.1]
[30.35, 30.650000000000002]
[32.300000000000004, 32.6]
[33.0, 33.25]
[34.2, 34.5]
[34.65, 34.95]
[38.0, 38.25]
[40.550000000000004, 40.85]
[42.95, 43.2]
[44.35, 44.95]
[47.35, 47.550000000000004]
[47.75, 48.150000000000006]
[48.35, 48.75]
[49.0, 49.25]
[50.400000000000006, 50.800000000000004]
[51.0, 51.2]
[51.45, 51.75]
[52.800000000000004, 53.650000000000006]
[54.5, 54.75]
[55.5, 55.7]
[57.45, 57.7]
[58.800000000000004, 59.150000000000006]
[59.5, 59.75]
[60.35, 60.550000000000004]
[60.75, 60.95]
[61.25, 61.5]
[61.85, 62.1]
[66.2, 66.55]
[67.3, 67.7]
[69.7, 70.2]
[70.5, 70.8]
[71.45, 71.7]
[72.55, 72.75]
[73.60000000000001, 74.2]
[74.65, 74.95]
[78.2, 78.85000000000001]
[79.15, 79.55000000000001]
[80.35000000000001, 80.60000000000001]
[80.85000000000001, 81.05000000000001]
[82.10000000000001, 82.30000000000001]
[82.95, 83.15]
[83.4, 83.60000000000001]
[84.80000000000001, 85.10000000000001]
[86.15, 86.55000000000001]
[88.05000000000001, 88.55000000000001]
[88.75, 88.95]
[89.2, 89.4]
[91.7, 92.10000000000001]
[93.45, 93.75]
[95.7, 95.9]
[96.10000000000001, 96.55000000000001]
[102.30000000000001, 102.60000000000001]
[103.5, 105.15]
[106.15, 106.55000000000001]
[107.5, 107.75]
[108.7, 108.95]
[109.10000000000001, 109.4]
[109.65, 109.85000000000001]
[110.30000000000001, 110.55000000000001]
[111.75, 112.05000000000001]
[113.30000000000001, 113.55000000000001]
[113.75, 114.10000000000001]
[114.65, 114.85000000000001]
[115.5, 115.80000000000001]
[116.9, 117.2]
[121.0, 121.30000000000001]
[121.7, 122.05000000000001]
[122.2, 122.4]
[122.75, 123.0]
[123.25, 123.45]
[124.80000000000001, 125.05000000000001]
[126.9, 127.15]
[129.70000000000002, 130.0]
[130.95000000000002, 131.25]
[132.5, 132.70000000000002]
[133.8, 134.1]
[135.05, 135.4]
[137.0, 137.20000000000002]
[145.85, 146.1]
[146.25, 146.55]
[147.85, 148.1]
[149.85, 150.1]
[151.3, 151.55]
[151.9, 152.25]
[155.9, 156.4]
[157.60000000000002, 157.85000000000002]
[159.4, 159.8]
[159.95000000000002, 160.35000000000002]
[160.5, 160.95000000000002]
[167.8, 168.65]
[168.95000000000002, 169.5]
[169.8, 170.10000000000002]
[170.25, 170.5]
[174.25, 174.65]
[175.5, 175.85000000000002]
[176.0, 176.25]
[176.8, 177.05]
[177.20000000000002, 177.45000000000002]
[177.65, 177.85000000000002]
[178.45000000000002, 179.0]
[182.3, 182.65]
[189.15, 189.5]
[191.5, 192.25]
[192.65, 192.85000000000002]
[195.0, 195.25]
[196.15, 196.4]
[198.4, 198.75]
[199.60000000000002, 199.9]
[201.3, 201.70000000000002]
[205.8, 206.15]
[206.45000000000002, 206.8]
[208.25, 208.95000000000002]
[209.25, 209.5]
[210.45000000000002, 210.70000000000002]
[214.25, 214.55]
[218.70000000000002, 219.15]
[220.4, 220.8]
[222.60000000000002, 222.85000000000002]
[224.4, 224.8]
[225.10000000000002, 225.75]
[227.5, 227.75]
[228.0, 228.20000000000002]
[230.9, 231.20000000000002]
[235.9, 236.4]
[239.60000000000002, 239.9]
[240.15, 240.35000000000002]
[241.15, 241.55]
[243.4, 244.25]
[245.3, 245.60000000000002]
[246.75, 247.0]
[248.75, 249.0]
[251.20000000000002, 251.45000000000002]
[253.9, 254.10000000000002]
[255.15, 255.4]
[255.8, 256.05]
[257.90000000000003, 258.15000000000003]
[259.0, 259.3]
[260.40000000000003, 260.7]
[261.3, 261.65000000000003]
[262.90000000000003, 263.15000000000003]
[263.75, 264.0]
[267.3, 267.55]
[269.95, 271.0]
[271.25, 271.55]
[272.5, 273.55]
[274.40000000000003, 274.75]
[274.90000000000003, 275.15000000000003]
[275.40000000000003, 275.7]
[277.85, 278.2]
[279.95, 280.15000000000003]
[285.2, 285.45]
[290.8, 291.1]
[291.25, 291.55]
[293.3, 293.65000000000003]
[293.90000000000003, 294.65000000000003]
